observationAbout,observationDate,value,variableMeasured,unit,measurementMethod
country/ATG,2020,0.0007,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ATG,2021,119100000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ATG,2021,0.0006,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ATG,2021,-23.12,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/ARG,2020,54286100000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ARG,2020,0.2445,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ARG,2021,50876200000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ARG,2021,0.2356,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ARG,2021,-6.28,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/ARM,2020,2860500000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ARM,2020,0.0129,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ARM,2021,5146200000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ARM,2021,0.0238,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ARM,2021,79.91,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/ABW,2020,700300000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ABW,2020,0.0032,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ABW,2021,206900000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/ABW,2021,0.001,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/ABW,2021,-70.46,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/AUS,2020,201978900000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/AUS,2020,0.9099,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/AUS,2021,299276400000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/AUS,2021,1.3862,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/AUS,2021,48.17,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/AUT,2020,32288500000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/AUT,2020,0.1455,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/AUT,2021,33543300000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/AUT,2021,0.1554,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/AUT,2021,3.89,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/AZE,2020,3760600000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/AZE,2020,0.0169,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/AZE,2021,3762200000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/AZE,2021,0.0174,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
country/AZE,2021,0.04,dcid:GrowthRate_Exports_EconomicActivity_ExportSourceIndia,Percent,ExportsInINR
country/BHS,2020,4313200000,dcid:Exports_EconomicActivity_ExportSourceIndia,INR,ExportsInINR
country/BHS,2020,0.0194,dcid:Exports_EconomicActivity_ExportSourceIndia_AsAFractionOf_Export_EconomicActivity_ExportSourceIndia_WorldTotal,Percent,ExportsInINR
