observationAbout,observationDate,value,variableMeasured,unit,measurementMethod,#input
wikidataId/Q1437,2024,10868,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data1.csv:30:1
wikidataId/Q1505,2024,87,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data1.csv:31:1
wikidataId/Q1445,2024,40121,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data1.csv:32:1
wikidataId/Q677037,2024,13446,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data1.csv:33:1
wikidataId/Q1363,2024,702,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data1.csv:34:1
wikidataId/Q1498,2024,22141,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data1.csv:35:1
wikidataId/Q1499,2024,2897,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data1.csv:36:1
wikidataId/Q1356,2024,10107,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data1.csv:37:1
country/IND,1982,1451257,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:2:1
country/IND,1982,105037,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:2:2
country/IND,1983,1667368,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:3:1
country/IND,1983,93166,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:3:2
country/IND,1984,2013718,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:4:1
country/IND,1984,96706,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:4:2
country/IND,1985,2088716,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:5:1
country/IND,1985,100328,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:5:2
country/IND,1986,2256813,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:6:1
country/IND,1986,101016,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:6:2
country/IND,1987,2555224,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:7:1
country/IND,1987,97957,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:7:2
country/IND,1988,2833360,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:8:1
country/IND,1988,102596,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:8:2
country/IND,1989,3463480,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:9:1
country/IND,1989,104077,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:9:2
country/IND,1990,4266281,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:10:1
country/IND,1990,107992,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:10:2
country/IND,1991,5151459,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:11:1
country/IND,1991,110179,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:11:2
country/IND,1992,5482702,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:12:1
country/IND,1992,112286,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:12:2
country/IND,1993,7124819,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:13:1
country/IND,1993,119494,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:13:2
country/IND,1994,8843399,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:14:1
country/IND,1994,121594,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:14:2
country/IND,1995,10851699,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:15:1
country/IND,1995,123010,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:15:2
country/IND,1996,13939719,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:16:1
country/IND,1996,134571,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:16:2
country/IND,1997,15735887,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:17:1
country/IND,1997,132814,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:17:2
country/IND,1998,16644124,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:18:1
country/IND,1998,136012,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:18:2
country/IND,1999,14546105,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:19:1
country/IND,1999,131706,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:19:2
country/IND,2000,15497442,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:20:1
country/IND,2000,131558,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:20:2
country/IND,2001,14362141,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:21:1
country/IND,2001,131268,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:21:2
country/IND,2002,14430212,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:22:1
country/IND,2002,128549,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:22:2
country/IND,2003,17234004,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:23:1
country/IND,2003,127957,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:23:2
country/IND,2004,20295377,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:24:1
country/IND,2004,129074,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:24:2
country/IND,2005,25990686,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:25:1
country/IND,2005,136353,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:25:2
country/IND,2006,31186419,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:26:1
country/IND,2006,140160,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:26:2
country/IND,2007,39572526,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:27:1
country/IND,2007,144710,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:27:2
country/IND,2008,48159268,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:28:1
country/IND,2008,146385,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:28:2
country/IND,2009,52776558,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:29:1
country/IND,2009,155321,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:29:2
country/IND,2010,59211387,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:30:1
country/IND,2010,158877,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:30:2
country/IND,2011,70457581,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:31:1
country/IND,2011,211660,dcid:Count_Establishment_Factory,,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:31:2
country/IND,2012,76455389,dcid:NetValueAdded_EconomicActivity_Factory,INR,,/usr/local/google/home/hareeshms/dc/customdc/msme/Custom_DC_Files/mospi/asi/input_data/mospi_asi-data2.csv:32:1
