observationAbout,observationDate,value,variableMeasured,unit,measurementMethod
country/IND,2021,289164500000,dcid:Exports_EconomicActivity_CoffeeTeaMateAndSpices,INR,ExportsInUSD
country/IND,2021,1.3393,dcid:Exports_EconomicActivity_CoffeeTeaMateAndSpices_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,23.69,dcid:GrowthRate_Exports_EconomicActivity_CoffeeTeaMateAndSpices,Percent,ExportsInUSD
country/IND,2020,473334900000,dcid:Exports_EconomicActivity_Cereals,INR,ExportsInUSD
country/IND,2020,2.1323,dcid:Exports_EconomicActivity_Cereals_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,747836000000,dcid:Exports_EconomicActivity_Cereals,INR,ExportsInUSD
country/IND,2021,3.4637,dcid:Exports_EconomicActivity_Cereals_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,57.99,dcid:GrowthRate_Exports_EconomicActivity_Cereals,Percent,ExportsInUSD
country/IND,2020,23686500000,dcid:Exports_EconomicActivity_ProductsOfTheMillingIndustryMaltStarchesInulin,INR,ExportsInUSD
country/IND,2020,0.1067,dcid:Exports_EconomicActivity_ProductsOfTheMillingIndustryMaltStarchesInulin_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,32168800000,dcid:Exports_EconomicActivity_ProductsOfTheMillingIndustryMaltStarchesInulin,INR,ExportsInUSD
country/IND,2021,0.149,dcid:Exports_EconomicActivity_ProductsOfTheMillingIndustryMaltStarchesInulin_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,35.81,dcid:GrowthRate_Exports_EconomicActivity_ProductsOfTheMillingIndustryMaltStarchesInulin,Percent,ExportsInUSD
country/IND,2020,125850400000,dcid:Exports_EconomicActivity_OilSeedsAndOleaginousFruitsMiscellaneousGrains,INR,ExportsInUSD
country/IND,2020,0.5669,dcid:Exports_EconomicActivity_OilSeedsAndOleaginousFruitsMiscellaneousGrains_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,134935500000,dcid:Exports_EconomicActivity_OilSeedsAndOleaginousFruitsMiscellaneousGrains,INR,ExportsInUSD
country/IND,2021,0.625,dcid:Exports_EconomicActivity_OilSeedsAndOleaginousFruitsMiscellaneousGrains_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,7.22,dcid:GrowthRate_Exports_EconomicActivity_OilSeedsAndOleaginousFruitsMiscellaneousGrains,Percent,ExportsInUSD
country/IND,2020,58303300000,dcid:Exports_EconomicActivity_LacGumsResinsAndOtherVegetableSapsAndExtracts,INR,ExportsInUSD
country/IND,2020,0.2626,dcid:Exports_EconomicActivity_LacGumsResinsAndOtherVegetableSapsAndExtracts_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,53928500000,dcid:Exports_EconomicActivity_LacGumsResinsAndOtherVegetableSapsAndExtracts,INR,ExportsInUSD
country/IND,2021,0.2498,dcid:Exports_EconomicActivity_LacGumsResinsAndOtherVegetableSapsAndExtracts_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,-7.5,dcid:GrowthRate_Exports_EconomicActivity_LacGumsResinsAndOtherVegetableSapsAndExtracts,Percent,ExportsInUSD
country/IND,2020,3356800000,dcid:Exports_EconomicActivity_VegetablePlaitingMaterialsVegetableProductsNot,INR,ExportsInUSD
country/IND,2020,0.0151,dcid:Exports_EconomicActivity_VegetablePlaitingMaterialsVegetableProductsNot_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
country/IND,2021,3266100000,dcid:Exports_EconomicActivity_VegetablePlaitingMaterialsVegetableProductsNot,INR,ExportsInUSD
country/IND,2021,0.0151,dcid:Exports_EconomicActivity_VegetablePlaitingMaterialsVegetableProductsNot_AsAFractionOf_Exports_EconomicActivity,Percent,ExportsInUSD
