observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2024,wikidataId/Q1172,dcid:NDAP_UnemploymentRate_Urban,2.3,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1174,dcid:NDAP_UnemploymentRate_Total,3.4,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1174,dcid:NDAP_UnemploymentRate_Male,3.8,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1174,dcid:NDAP_UnemploymentRate_Female,2.2,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1174,dcid:NDAP_UnemploymentRate_Rural,3.1,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1174,dcid:NDAP_UnemploymentRate_Urban,4.0,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1177,dcid:NDAP_UnemploymentRate_Total,5.5,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1177,dcid:NDAP_UnemploymentRate_Male,3.4,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1177,dcid:NDAP_UnemploymentRate_Female,7.8,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1177,dcid:NDAP_UnemploymentRate_Rural,5.0,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1177,dcid:NDAP_UnemploymentRate_Urban,9.0,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1184,dcid:NDAP_UnemploymentRate_Total,1.3,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1184,dcid:NDAP_UnemploymentRate_Male,1.8,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1184,dcid:NDAP_UnemploymentRate_Female,0.5,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1184,dcid:NDAP_UnemploymentRate_Rural,0.5,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1184,dcid:NDAP_UnemploymentRate_Urban,5.8,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1185,dcid:NDAP_UnemploymentRate_Total,2.7,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1185,dcid:NDAP_UnemploymentRate_Male,3.1,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1185,dcid:NDAP_UnemploymentRate_Female,1.9,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1185,dcid:NDAP_UnemploymentRate_Rural,1.9,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1185,dcid:NDAP_UnemploymentRate_Urban,4.2,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1186,dcid:NDAP_UnemploymentRate_Total,7.2,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1186,dcid:NDAP_UnemploymentRate_Male,4.4,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1186,dcid:NDAP_UnemploymentRate_Female,11.6,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1186,dcid:NDAP_UnemploymentRate_Rural,7.7,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1186,dcid:NDAP_UnemploymentRate_Urban,6.7,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1188,dcid:NDAP_UnemploymentRate_Total,1.0,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1188,dcid:NDAP_UnemploymentRate_Male,1.1,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1188,dcid:NDAP_UnemploymentRate_Female,0.7,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1188,dcid:NDAP_UnemploymentRate_Rural,0.5,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1188,dcid:NDAP_UnemploymentRate_Urban,2.8,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1191,dcid:NDAP_UnemploymentRate_Total,3.3,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1191,dcid:NDAP_UnemploymentRate_Male,3.7,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1191,dcid:NDAP_UnemploymentRate_Female,2.7,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1191,dcid:NDAP_UnemploymentRate_Rural,2.1,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1191,dcid:NDAP_UnemploymentRate_Urban,5.2,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1193,dcid:NDAP_UnemploymentRate_Total,6.1,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1193,dcid:NDAP_UnemploymentRate_Male,5.0,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1193,dcid:NDAP_UnemploymentRate_Female,7.7,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1193,dcid:NDAP_UnemploymentRate_Rural,5.5,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1193,dcid:NDAP_UnemploymentRate_Urban,7.5,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1195,dcid:NDAP_UnemploymentRate_Total,6.2,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1195,dcid:NDAP_UnemploymentRate_Male,4.3,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1195,dcid:NDAP_UnemploymentRate_Female,8.2,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1195,dcid:NDAP_UnemploymentRate_Rural,5.0,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1195,dcid:NDAP_UnemploymentRate_Urban,14.0,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1197,dcid:NDAP_UnemploymentRate_Total,2.3,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1197,dcid:NDAP_UnemploymentRate_Male,2.2,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1197,dcid:NDAP_UnemploymentRate_Female,2.4,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1197,dcid:NDAP_UnemploymentRate_Rural,1.3,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1197,dcid:NDAP_UnemploymentRate_Urban,3.4,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1199,dcid:NDAP_UnemploymentRate_Total,7.1,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1199,dcid:NDAP_UnemploymentRate_Male,7.0,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1199,dcid:NDAP_UnemploymentRate_Female,7.1,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1199,dcid:NDAP_UnemploymentRate_Rural,5.7,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1199,dcid:NDAP_UnemploymentRate_Urban,11.3,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1466991,dcid:NDAP_UnemploymentRate_Total,3.1,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1466991,dcid:NDAP_UnemploymentRate_Male,3.3,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1466991,dcid:NDAP_UnemploymentRate_Female,2.7,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1466991,dcid:NDAP_UnemploymentRate_Rural,2.6,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1466991,dcid:NDAP_UnemploymentRate_Urban,6.8,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q22424,dcid:NDAP_UnemploymentRate_Total,5.5,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q22424,dcid:NDAP_UnemploymentRate_Male,4.9,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q22424,dcid:NDAP_UnemploymentRate_Female,6.9,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q22424,dcid:NDAP_UnemploymentRate_Rural,5.4,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q22424,dcid:NDAP_UnemploymentRate_Urban,5.6,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1437,dcid:NDAP_UnemploymentRate_Total,4.2,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1437,dcid:NDAP_UnemploymentRate_Male,4.3,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1437,dcid:NDAP_UnemploymentRate_Female,4.0,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1437,dcid:NDAP_UnemploymentRate_Rural,3.1,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1437,dcid:NDAP_UnemploymentRate_Urban,7.7,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1505,dcid:NDAP_UnemploymentRate_Total,2.3,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1505,dcid:NDAP_UnemploymentRate_Male,2.5,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1505,dcid:NDAP_UnemploymentRate_Female,2.1,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1505,dcid:NDAP_UnemploymentRate_Rural,2.2,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1505,dcid:NDAP_UnemploymentRate_Urban,3.0,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1445,dcid:NDAP_UnemploymentRate_Total,3.5,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1445,dcid:NDAP_UnemploymentRate_Male,3.4,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1445,dcid:NDAP_UnemploymentRate_Female,3.8,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1445,dcid:NDAP_UnemploymentRate_Rural,3.1,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1445,dcid:NDAP_UnemploymentRate_Urban,4.1,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q677037,dcid:NDAP_UnemploymentRate_Total,4.8,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q677037,dcid:NDAP_UnemploymentRate_Male,4.6,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q677037,dcid:NDAP_UnemploymentRate_Female,5.0,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q677037,dcid:NDAP_UnemploymentRate_Rural,3.5,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q677037,dcid:NDAP_UnemploymentRate_Urban,7.3,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1363,dcid:NDAP_UnemploymentRate_Total,1.7,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1363,dcid:NDAP_UnemploymentRate_Male,1.7,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1363,dcid:NDAP_UnemploymentRate_Female,1.6,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1363,dcid:NDAP_UnemploymentRate_Rural,1.4,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1363,dcid:NDAP_UnemploymentRate_Urban,3.2,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1904,dcid:NDAP_UnemploymentRate_Total,4.3,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1904,dcid:NDAP_UnemploymentRate_Male,4.5,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1904,dcid:NDAP_UnemploymentRate_Female,4.1,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1904,dcid:NDAP_UnemploymentRate_Rural,3.9,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1904,dcid:NDAP_UnemploymentRate_Urban,5.8,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1498,dcid:NDAP_UnemploymentRate_Total,3.1,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1498,dcid:NDAP_UnemploymentRate_Male,3.3,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1498,dcid:NDAP_UnemploymentRate_Female,2.5,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1498,dcid:NDAP_UnemploymentRate_Rural,2.2,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1498,dcid:NDAP_UnemploymentRate_Urban,6.7,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1356,dcid:NDAP_UnemploymentRate_Total,2.5,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1356,dcid:NDAP_UnemploymentRate_Male,2.3,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1356,dcid:NDAP_UnemploymentRate_Female,3.0,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1356,dcid:NDAP_UnemploymentRate_Rural,2.2,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1356,dcid:NDAP_UnemploymentRate_Urban,3.3,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1180,dcid:NDAP_UnemploymentRate_Total,6.1,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1180,dcid:NDAP_UnemploymentRate_Male,3.8,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1180,dcid:NDAP_UnemploymentRate_Female,9.7,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1180,dcid:NDAP_UnemploymentRate_Rural,5.0,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,wikidataId/Q1180,dcid:NDAP_UnemploymentRate_Urban,11.4,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,country/IND,dcid:NDAP_UnemploymentRate_Total,3.2,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,country/IND,dcid:NDAP_UnemploymentRate_Male,3.2,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,country/IND,dcid:NDAP_UnemploymentRate_Female,3.2,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,country/IND,dcid:NDAP_UnemploymentRate_Rural,2.5,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
2024,country/IND,dcid:NDAP_UnemploymentRate_Urban,5.1,Percent,NDAP_MoSPI_PLFS_2023-24,P1Y
