observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2018,country/IND,dcid:NDAP_TBNotifications_National,2101970,Cases,NDAP_CTD_IndiaTPReport2024,P1Y
2019,country/IND,dcid:NDAP_TBNotifications_National,2401351,Cases,NDAP_CTD_IndiaTPReport2024,P1Y
2020,country/IND,dcid:NDAP_TBNotifications_National,1812560,Cases,NDAP_CTD_IndiaTPReport2024,P1Y
2021,country/IND,dcid:NDAP_TBNotifications_National,2120133,Cases,NDAP_CTD_IndiaTPReport2024,P1Y
2022,country/IND,dcid:NDAP_TBNotifications_National,2422121,Cases,NDAP_CTD_IndiaTPReport2024,P1Y
2023,country/IND,dcid:NDAP_TBNotifications_National,2552257,Cases,NDAP_CTD_IndiaTPReport2024,P1Y
