observationDate,observationAbout,variableMeasured,value,unit,measurementMethod,observationPeriod
2015,wikidataId/Q1159,dcid:NDAP_MilkProduction_Statewise,10817000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2016,wikidataId/Q1159,dcid:NDAP_MilkProduction_Statewise,12178000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2017,wikidataId/Q1159,dcid:NDAP_MilkProduction_Statewise,13725000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2018,wikidataId/Q1159,dcid:NDAP_MilkProduction_Statewise,15044000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2019,wikidataId/Q1159,dcid:NDAP_MilkProduction_Statewise,15263000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2020,wikidataId/Q1159,dcid:NDAP_MilkProduction_Statewise,14714000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2021,wikidataId/Q1159,dcid:NDAP_MilkProduction_Statewise,15403000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2022,wikidataId/Q1159,dcid:NDAP_MilkProduction_Statewise,15448000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2023,wikidataId/Q1159,dcid:NDAP_MilkProduction_Statewise,13994000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2001,wikidataId/Q1162,dcid:NDAP_MilkProduction_Statewise,42000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2002,wikidataId/Q1162,dcid:NDAP_MilkProduction_Statewise,46000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2003,wikidataId/Q1162,dcid:NDAP_MilkProduction_Statewise,46000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2004,wikidataId/Q1162,dcid:NDAP_MilkProduction_Statewise,48000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2005,wikidataId/Q1162,dcid:NDAP_MilkProduction_Statewise,48000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2006,wikidataId/Q1162,dcid:NDAP_MilkProduction_Statewise,49000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2007,wikidataId/Q1162,dcid:NDAP_MilkProduction_Statewise,32000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2008,wikidataId/Q1162,dcid:NDAP_MilkProduction_Statewise,24000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2009,wikidataId/Q1162,dcid:NDAP_MilkProduction_Statewise,26000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2010,wikidataId/Q1162,dcid:NDAP_MilkProduction_Statewise,28000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2011,wikidataId/Q1162,dcid:NDAP_MilkProduction_Statewise,22000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2012,wikidataId/Q1162,dcid:NDAP_MilkProduction_Statewise,23000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2013,wikidataId/Q1162,dcid:NDAP_MilkProduction_Statewise,43000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2014,wikidataId/Q1162,dcid:NDAP_MilkProduction_Statewise,46000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2015,wikidataId/Q1162,dcid:NDAP_MilkProduction_Statewise,50000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2016,wikidataId/Q1162,dcid:NDAP_MilkProduction_Statewise,53000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2017,wikidataId/Q1162,dcid:NDAP_MilkProduction_Statewise,54000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2018,wikidataId/Q1162,dcid:NDAP_MilkProduction_Statewise,55000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2019,wikidataId/Q1162,dcid:NDAP_MilkProduction_Statewise,61000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2020,wikidataId/Q1162,dcid:NDAP_MilkProduction_Statewise,44000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2021,wikidataId/Q1162,dcid:NDAP_MilkProduction_Statewise,46000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2022,wikidataId/Q1162,dcid:NDAP_MilkProduction_Statewise,46000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2023,wikidataId/Q1162,dcid:NDAP_MilkProduction_Statewise,20000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2001,wikidataId/Q1164,dcid:NDAP_MilkProduction_Statewise,682000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2002,wikidataId/Q1164,dcid:NDAP_MilkProduction_Statewise,705000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2003,wikidataId/Q1164,dcid:NDAP_MilkProduction_Statewise,727000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
2004,wikidataId/Q1164,dcid:NDAP_MilkProduction_Statewise,739000.0,Tonne,NDAP_DAHD_BasicAnimalHusbandryStatistics,P1Y
