observationAbout,observationDate,variableMeasured,value,#input
country/EST,1987,dcid:Count_Person_70To74Years,47264,estonia_population.csv:1718:3
country/EST,1987,dcid:Count_Person_75To79Years,39996,estonia_population.csv:1719:3
country/EST,1987,dcid:Count_Person_80To84Years,24313,estonia_population.csv:1720:3
country/EST,1987,dcid:Count_Person_85OrMoreYears,13279,estonia_population.csv:1725:3
country/EST,1987,dcid:Count_Person_AgeNotStated,71,estonia_population.csv:1726:3
country/EST,1988,dcid:Count_Person,1558137,estonia_population.csv:1727:3
country/EST,1988,dcid:Count_Person_0Years,24849,estonia_population.csv:1728:3
country/EST,1988,dcid:Count_Person_1To4Years,96599,estonia_population.csv:1729:3
country/EST,1988,dcid:Count_Person_5To9Years,114051,estonia_population.csv:1730:3
country/EST,1988,dcid:Count_Person_10To14Years,111113,estonia_population.csv:1731:3
country/EST,1988,dcid:Count_Person_15To19Years,111010,estonia_population.csv:1732:3
country/EST,1988,dcid:Count_Person_20To24Years,103767,estonia_population.csv:1733:3
country/EST,1988,dcid:Count_Person_25To29Years,121463,estonia_population.csv:1734:3
country/EST,1988,dcid:Count_Person_30To34Years,120244,estonia_population.csv:1735:3
country/EST,1988,dcid:Count_Person_35To39Years,114000,estonia_population.csv:1736:3
country/EST,1988,dcid:Count_Person_40To44Years,87465,estonia_population.csv:1737:3
country/EST,1988,dcid:Count_Person_45To49Years,103658,estonia_population.csv:1738:3
country/EST,1988,dcid:Count_Person_50To54Years,95425,estonia_population.csv:1739:3
country/EST,1988,dcid:Count_Person_55To59Years,96631,estonia_population.csv:1740:3
country/EST,1988,dcid:Count_Person_60To64Years,81558,estonia_population.csv:1741:3
country/EST,1988,dcid:Count_Person_65To69Years,54792,estonia_population.csv:1742:3
country/EST,1988,dcid:Count_Person_70To74Years,42662,estonia_population.csv:1743:3
country/EST,1988,dcid:Count_Person_75To79Years,40593,estonia_population.csv:1744:3
country/EST,1988,dcid:Count_Person_80To84Years,24315,estonia_population.csv:1745:3
country/EST,1988,dcid:Count_Person_85OrMoreYears,13901,estonia_population.csv:1750:3
country/EST,1988,dcid:Count_Person_AgeNotStated,41,estonia_population.csv:1751:3
country/EST,1989,dcid:Count_Person,1565662,estonia_population.csv:1752:3
country/EST,1989,dcid:Count_Person_0Years,24601,estonia_population.csv:1753:3
country/EST,1989,dcid:Count_Person_1To4Years,97121,estonia_population.csv:1754:3
country/EST,1989,dcid:Count_Person_5To9Years,115747,estonia_population.csv:1755:3
country/EST,1989,dcid:Count_Person_10To14Years,111269,estonia_population.csv:1756:3
country/EST,1989,dcid:Count_Person_15To19Years,111696,estonia_population.csv:1757:3
country/EST,1989,dcid:Count_Person_20To24Years,104027,estonia_population.csv:1758:3
country/EST,1989,dcid:Count_Person_25To29Years,119514,estonia_population.csv:1759:3
country/EST,1989,dcid:Count_Person_30To34Years,121092,estonia_population.csv:1760:3
country/EST,1989,dcid:Count_Person_35To39Years,114371,estonia_population.csv:1761:3
country/EST,1989,dcid:Count_Person_40To44Years,93743,estonia_population.csv:1762:3
country/EST,1989,dcid:Count_Person_45To49Years,96833,estonia_population.csv:1763:3
country/EST,1989,dcid:Count_Person_50To54Years,98567,estonia_population.csv:1764:3
country/EST,1989,dcid:Count_Person_55To59Years,93682,estonia_population.csv:1765:3
country/EST,1989,dcid:Count_Person_60To64Years,84504,estonia_population.csv:1766:3
country/EST,1989,dcid:Count_Person_65To69Years,58355,estonia_population.csv:1767:3
country/EST,1989,dcid:Count_Person_70To74Years,41155,estonia_population.csv:1768:3
country/EST,1989,dcid:Count_Person_75To79Years,40627,estonia_population.csv:1769:3
country/EST,1989,dcid:Count_Person_80To84Years,24449,estonia_population.csv:1770:3
country/EST,1989,dcid:Count_Person_85OrMoreYears,14309,estonia_population.csv:1775:3
country/EST,1989,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:1776:3
country/EST,1990,dcid:Count_Person,1570599,estonia_population.csv:1777:3
country/EST,1990,dcid:Count_Person_0Years,24006,estonia_population.csv:1778:3
country/EST,1990,dcid:Count_Person_1To4Years,97235,estonia_population.csv:1779:3
country/EST,1990,dcid:Count_Person_5To9Years,117512,estonia_population.csv:1780:3
country/EST,1990,dcid:Count_Person_10To14Years,111381,estonia_population.csv:1781:3
country/EST,1990,dcid:Count_Person_15To19Years,109719,estonia_population.csv:1782:3
country/EST,1990,dcid:Count_Person_20To24Years,105679,estonia_population.csv:1783:3
country/EST,1990,dcid:Count_Person_25To29Years,117298,estonia_population.csv:1784:3
country/EST,1990,dcid:Count_Person_30To34Years,120817,estonia_population.csv:1785:3
country/EST,1990,dcid:Count_Person_35To39Years,114879,estonia_population.csv:1786:3
country/EST,1990,dcid:Count_Person_40To44Years,101229,estonia_population.csv:1787:3
country/EST,1990,dcid:Count_Person_45To49Years,90162,estonia_population.csv:1788:3
country/EST,1990,dcid:Count_Person_50To54Years,101609,estonia_population.csv:1789:3
country/EST,1990,dcid:Count_Person_55To59Years,91201,estonia_population.csv:1790:3
country/EST,1990,dcid:Count_Person_60To64Years,86267,estonia_population.csv:1791:3
country/EST,1990,dcid:Count_Person_65To69Years,62671,estonia_population.csv:1792:3
country/EST,1990,dcid:Count_Person_70To74Years,38851,estonia_population.csv:1793:3
country/EST,1990,dcid:Count_Person_75To79Years,40487,estonia_population.csv:1794:3
country/EST,1990,dcid:Count_Person_80To84Years,24770,estonia_population.csv:1795:3
country/EST,1990,dcid:Count_Person_85OrMoreYears,14826,estonia_population.csv:1800:3
country/EST,1990,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:1801:3
country/EST,1991,dcid:Count_Person,1567749,estonia_population.csv:1802:3
country/EST,1991,dcid:Count_Person_0Years,22041,estonia_population.csv:1803:3
country/EST,1991,dcid:Count_Person_1To4Years,96701,estonia_population.csv:1804:3
country/EST,1991,dcid:Count_Person_5To9Years,118037,estonia_population.csv:1805:3
country/EST,1991,dcid:Count_Person_10To14Years,111503,estonia_population.csv:1806:3
country/EST,1991,dcid:Count_Person_15To19Years,108511,estonia_population.csv:1807:3
country/EST,1991,dcid:Count_Person_20To24Years,107063,estonia_population.csv:1808:3
country/EST,1991,dcid:Count_Person_25To29Years,112872,estonia_population.csv:1809:3
country/EST,1991,dcid:Count_Person_30To34Years,120007,estonia_population.csv:1810:3
country/EST,1991,dcid:Count_Person_35To39Years,116264,estonia_population.csv:1811:3
country/EST,1991,dcid:Count_Person_40To44Years,106675,estonia_population.csv:1812:3
country/EST,1991,dcid:Count_Person_45To49Years,85478,estonia_population.csv:1813:3
country/EST,1991,dcid:Count_Person_50To54Years,101666,estonia_population.csv:1814:3
country/EST,1991,dcid:Count_Person_55To59Years,89144,estonia_population.csv:1815:3
country/EST,1991,dcid:Count_Person_60To64Years,88238,estonia_population.csv:1816:3
country/EST,1991,dcid:Count_Person_65To69Years,66178,estonia_population.csv:1817:3
country/EST,1991,dcid:Count_Person_70To74Years,38397,estonia_population.csv:1818:3
country/EST,1991,dcid:Count_Person_75To79Years,38562,estonia_population.csv:1819:3
country/EST,1991,dcid:Count_Person_80To84Years,25291,estonia_population.csv:1820:3
country/EST,1991,dcid:Count_Person_85OrMoreYears,15121,estonia_population.csv:1825:3
country/EST,1991,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:1826:3
country/EST,1992,dcid:Count_Person,1554878,estonia_population.csv:1827:3
country/EST,1992,dcid:Count_Person_0Years,18956,estonia_population.csv:1828:3
country/EST,1992,dcid:Count_Person_1To4Years,94063,estonia_population.csv:1829:3
country/EST,1992,dcid:Count_Person_5To9Years,117768,estonia_population.csv:1830:3
country/EST,1992,dcid:Count_Person_10To14Years,111135,estonia_population.csv:1831:3
country/EST,1992,dcid:Count_Person_15To19Years,107641,estonia_population.csv:1832:3
country/EST,1992,dcid:Count_Person_20To24Years,106471,estonia_population.csv:1833:3
country/EST,1992,dcid:Count_Person_25To29Years,107553,estonia_population.csv:1834:3
country/EST,1992,dcid:Count_Person_30To34Years,118861,estonia_population.csv:1835:3
country/EST,1992,dcid:Count_Person_35To39Years,115869,estonia_population.csv:1836:3
country/EST,1992,dcid:Count_Person_40To44Years,108681,estonia_population.csv:1837:3
country/EST,1992,dcid:Count_Person_45To49Years,81810,estonia_population.csv:1838:3
country/EST,1992,dcid:Count_Person_50To54Years,103039,estonia_population.csv:1839:3
country/EST,1992,dcid:Count_Person_55To59Years,88343,estonia_population.csv:1840:3
country/EST,1992,dcid:Count_Person_60To64Years,88314,estonia_population.csv:1841:3
country/EST,1992,dcid:Count_Person_65To69Years,68758,estonia_population.csv:1842:3
country/EST,1992,dcid:Count_Person_70To74Years,41333,estonia_population.csv:1843:3
country/EST,1992,dcid:Count_Person_75To79Years,35416,estonia_population.csv:1844:3
country/EST,1992,dcid:Count_Person_80To84Years,25452,estonia_population.csv:1845:3
country/EST,1992,dcid:Count_Person_85OrMoreYears,15415,estonia_population.csv:1850:3
country/EST,1992,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:1851:3
country/EST,1993,dcid:Count_Person,1511303,estonia_population.csv:1852:3
country/EST,1993,dcid:Count_Person_0Years,17571,estonia_population.csv:1853:3
country/EST,1993,dcid:Count_Person_1To4Years,85961,estonia_population.csv:1854:3
country/EST,1993,dcid:Count_Person_5To9Years,115072,estonia_population.csv:1855:3
country/EST,1993,dcid:Count_Person_10To14Years,108093,estonia_population.csv:1856:3
country/EST,1993,dcid:Count_Person_15To19Years,104774,estonia_population.csv:1857:3
country/EST,1993,dcid:Count_Person_20To24Years,102906,estonia_population.csv:1858:3
country/EST,1993,dcid:Count_Person_25To29Years,100241,estonia_population.csv:1859:3
country/EST,1993,dcid:Count_Person_30To34Years,113471,estonia_population.csv:1860:3
country/EST,1993,dcid:Count_Person_35To39Years,111906,estonia_population.csv:1861:3
country/EST,1993,dcid:Count_Person_40To44Years,107117,estonia_population.csv:1862:3
country/EST,1993,dcid:Count_Person_45To49Years,82618,estonia_population.csv:1863:3
country/EST,1993,dcid:Count_Person_50To54Years,97279,estonia_population.csv:1864:3
country/EST,1993,dcid:Count_Person_55To59Years,88485,estonia_population.csv:1865:3
country/EST,1993,dcid:Count_Person_60To64Years,87169,estonia_population.csv:1866:3
country/EST,1993,dcid:Count_Person_65To69Years,70986,estonia_population.csv:1867:3
country/EST,1993,dcid:Count_Person_70To74Years,44986,estonia_population.csv:1868:3
country/EST,1993,dcid:Count_Person_75To79Years,31539,estonia_population.csv:1869:3
country/EST,1993,dcid:Count_Person_80To84Years,25693,estonia_population.csv:1870:3
country/EST,1993,dcid:Count_Person_85OrMoreYears,15436,estonia_population.csv:1875:3
country/EST,1993,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:1876:3
country/EST,1994,dcid:Count_Person,1476952,estonia_population.csv:1877:3
country/EST,1994,dcid:Count_Person_0Years,14794,estonia_population.csv:1878:3
country/EST,1994,dcid:Count_Person_1To4Years,78704,estonia_population.csv:1879:3
country/EST,1994,dcid:Count_Person_5To9Years,112881,estonia_population.csv:1880:3
country/EST,1994,dcid:Count_Person_10To14Years,107224,estonia_population.csv:1881:3
country/EST,1994,dcid:Count_Person_15To19Years,102019,estonia_population.csv:1882:3
country/EST,1994,dcid:Count_Person_20To24Years,101515,estonia_population.csv:1883:3
country/EST,1994,dcid:Count_Person_25To29Years,95906,estonia_population.csv:1884:3
country/EST,1994,dcid:Count_Person_30To34Years,108263,estonia_population.csv:1885:3
country/EST,1994,dcid:Count_Person_35To39Years,109327,estonia_population.csv:1886:3
country/EST,1994,dcid:Count_Person_40To44Years,104622,estonia_population.csv:1887:3
country/EST,1994,dcid:Count_Person_45To49Years,86880,estonia_population.csv:1888:3
country/EST,1994,dcid:Count_Person_50To54Years,89673,estonia_population.csv:1889:3
country/EST,1994,dcid:Count_Person_55To59Years,90279,estonia_population.csv:1890:3
country/EST,1994,dcid:Count_Person_60To64Years,83802,estonia_population.csv:1891:3
country/EST,1994,dcid:Count_Person_65To69Years,72541,estonia_population.csv:1892:3
country/EST,1994,dcid:Count_Person_70To74Years,47519,estonia_population.csv:1893:3
country/EST,1994,dcid:Count_Person_75To79Years,30244,estonia_population.csv:1894:3
country/EST,1994,dcid:Count_Person_80To84Years,25412,estonia_population.csv:1895:3
country/EST,1994,dcid:Count_Person_85OrMoreYears,15347,estonia_population.csv:1900:3
country/EST,1994,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:1901:3
country/EST,1995,dcid:Count_Person,1448075,estonia_population.csv:1902:3
country/EST,1995,dcid:Count_Person_0Years,13760,estonia_population.csv:1903:3
country/EST,1995,dcid:Count_Person_1To4Years,70180,estonia_population.csv:1904:3
country/EST,1995,dcid:Count_Person_5To9Years,111077,estonia_population.csv:1905:3
country/EST,1995,dcid:Count_Person_10To14Years,107473,estonia_population.csv:1906:3
country/EST,1995,dcid:Count_Person_15To19Years,99958,estonia_population.csv:1907:3
country/EST,1995,dcid:Count_Person_20To24Years,99551,estonia_population.csv:1908:3
country/EST,1995,dcid:Count_Person_25To29Years,93270,estonia_population.csv:1909:3
country/EST,1995,dcid:Count_Person_30To34Years,103760,estonia_population.csv:1910:3
country/EST,1995,dcid:Count_Person_35To39Years,106694,estonia_population.csv:1911:3
country/EST,1995,dcid:Count_Person_40To44Years,102411,estonia_population.csv:1912:3
country/EST,1995,dcid:Count_Person_45To49Years,91842,estonia_population.csv:1913:3
country/EST,1995,dcid:Count_Person_50To54Years,82575,estonia_population.csv:1914:3
country/EST,1995,dcid:Count_Person_55To59Years,91864,estonia_population.csv:1915:3
country/EST,1995,dcid:Count_Person_60To64Years,80777,estonia_population.csv:1916:3
country/EST,1995,dcid:Count_Person_65To69Years,73213,estonia_population.csv:1917:3
country/EST,1995,dcid:Count_Person_70To74Years,50539,estonia_population.csv:1918:3
country/EST,1995,dcid:Count_Person_75To79Years,28339,estonia_population.csv:1919:3
country/EST,1995,dcid:Count_Person_80To84Years,25154,estonia_population.csv:1920:3
country/EST,1995,dcid:Count_Person_85OrMoreYears,15638,estonia_population.csv:1925:3
country/EST,1995,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:1926:3
country/EST,1996,dcid:Count_Person,1425192,estonia_population.csv:1927:3
country/EST,1996,dcid:Count_Person_0Years,13192,estonia_population.csv:1928:3
country/EST,1996,dcid:Count_Person_1To4Years,62833,estonia_population.csv:1929:3
country/EST,1996,dcid:Count_Person_5To9Years,108578,estonia_population.csv:1930:3
country/EST,1996,dcid:Count_Person_10To14Years,107371,estonia_population.csv:1931:3
country/EST,1996,dcid:Count_Person_15To19Years,99129,estonia_population.csv:1932:3
country/EST,1996,dcid:Count_Person_20To24Years,97600,estonia_population.csv:1933:3
country/EST,1996,dcid:Count_Person_25To29Years,93026,estonia_population.csv:1934:3
country/EST,1996,dcid:Count_Person_30To34Years,98911,estonia_population.csv:1935:3
country/EST,1996,dcid:Count_Person_35To39Years,104622,estonia_population.csv:1936:3
country/EST,1996,dcid:Count_Person_40To44Years,101993,estonia_population.csv:1937:3
country/EST,1996,dcid:Count_Person_45To49Years,95114,estonia_population.csv:1938:3
country/EST,1996,dcid:Count_Person_50To54Years,77480,estonia_population.csv:1939:3
country/EST,1996,dcid:Count_Person_55To59Years,90915,estonia_population.csv:1940:3
country/EST,1996,dcid:Count_Person_60To64Years,78593,estonia_population.csv:1941:3
country/EST,1996,dcid:Count_Person_65To69Years,74486,estonia_population.csv:1942:3
country/EST,1996,dcid:Count_Person_70To74Years,53360,estonia_population.csv:1943:3
country/EST,1996,dcid:Count_Person_75To79Years,27981,estonia_population.csv:1944:3
country/EST,1996,dcid:Count_Person_80To84Years,23930,estonia_population.csv:1945:3
country/EST,1996,dcid:Count_Person_85OrMoreYears,16078,estonia_population.csv:1950:3
country/EST,1996,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:1951:3
country/EST,1997,dcid:Count_Person,1405996,estonia_population.csv:1952:3
country/EST,1997,dcid:Count_Person_0Years,12981,estonia_population.csv:1953:3
country/EST,1997,dcid:Count_Person_1To4Years,57778,estonia_population.csv:1954:3
country/EST,1997,dcid:Count_Person_5To9Years,103783,estonia_population.csv:1955:3
country/EST,1997,dcid:Count_Person_10To14Years,106744,estonia_population.csv:1956:3
country/EST,1997,dcid:Count_Person_15To19Years,98966,estonia_population.csv:1957:3
country/EST,1997,dcid:Count_Person_20To24Years,95731,estonia_population.csv:1958:3
country/EST,1997,dcid:Count_Person_25To29Years,94143,estonia_population.csv:1959:3
country/EST,1997,dcid:Count_Person_30To34Years,94274,estonia_population.csv:1960:3
country/EST,1997,dcid:Count_Person_35To39Years,103275,estonia_population.csv:1961:3
country/EST,1997,dcid:Count_Person_40To44Years,100627,estonia_population.csv:1962:3
country/EST,1997,dcid:Count_Person_45To49Years,95947,estonia_population.csv:1963:3
country/EST,1997,dcid:Count_Person_50To54Years,73686,estonia_population.csv:1964:3
country/EST,1997,dcid:Count_Person_55To59Years,91484,estonia_population.csv:1965:3
country/EST,1997,dcid:Count_Person_60To64Years,77729,estonia_population.csv:1966:3
country/EST,1997,dcid:Count_Person_65To69Years,74647,estonia_population.csv:1967:3
country/EST,1997,dcid:Count_Person_70To74Years,55283,estonia_population.csv:1968:3
country/EST,1997,dcid:Count_Person_75To79Years,30279,estonia_population.csv:1969:3
country/EST,1997,dcid:Count_Person_80To84Years,22102,estonia_population.csv:1970:3
country/EST,1997,dcid:Count_Person_85OrMoreYears,16537,estonia_population.csv:1975:3
country/EST,1997,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:1976:3
country/EST,1998,dcid:Count_Person,1393074,estonia_population.csv:1977:3
country/EST,1998,dcid:Count_Person_0Years,12326,estonia_population.csv:1978:3
country/EST,1998,dcid:Count_Person_1To4Years,53516,estonia_population.csv:1979:3
country/EST,1998,dcid:Count_Person_5To9Years,98039,estonia_population.csv:1980:3
country/EST,1998,dcid:Count_Person_10To14Years,107582,estonia_population.csv:1981:3
country/EST,1998,dcid:Count_Person_15To19Years,99564,estonia_population.csv:1982:3
country/EST,1998,dcid:Count_Person_20To24Years,94786,estonia_population.csv:1983:3
country/EST,1998,dcid:Count_Person_25To29Years,95350,estonia_population.csv:1984:3
country/EST,1998,dcid:Count_Person_30To34Years,90805,estonia_population.csv:1985:3
country/EST,1998,dcid:Count_Person_35To39Years,102090,estonia_population.csv:1986:3
country/EST,1998,dcid:Count_Person_40To44Years,99789,estonia_population.csv:1987:3
country/EST,1998,dcid:Count_Person_45To49Years,96172,estonia_population.csv:1988:3
country/EST,1998,dcid:Count_Person_50To54Years,74763,estonia_population.csv:1989:3
country/EST,1998,dcid:Count_Person_55To59Years,87541,estonia_population.csv:1990:3
country/EST,1998,dcid:Count_Person_60To64Years,78197,estonia_population.csv:1991:3
country/EST,1998,dcid:Count_Person_65To69Years,74549,estonia_population.csv:1992:3
country/EST,1998,dcid:Count_Person_70To74Years,57502,estonia_population.csv:1993:3
country/EST,1998,dcid:Count_Person_75To79Years,33443,estonia_population.csv:1994:3
country/EST,1998,dcid:Count_Person_80To84Years,20011,estonia_population.csv:1995:3
country/EST,1998,dcid:Count_Person_85OrMoreYears,17049,estonia_population.csv:2000:3
country/EST,1998,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:2001:3
country/EST,1999,dcid:Count_Person,1379237,estonia_population.csv:2002:3
country/EST,1999,dcid:Count_Person_0Years,11911,estonia_population.csv:2003:3
country/EST,1999,dcid:Count_Person_1To4Years,51121,estonia_population.csv:2004:3
country/EST,1999,dcid:Count_Person_5To9Years,89963,estonia_population.csv:2005:3
country/EST,1999,dcid:Count_Person_10To14Years,107574,estonia_population.csv:2006:3
country/EST,1999,dcid:Count_Person_15To19Years,101406,estonia_population.csv:2007:3
country/EST,1999,dcid:Count_Person_20To24Years,94477,estonia_population.csv:2008:3
country/EST,1999,dcid:Count_Person_25To29Years,95133,estonia_population.csv:2009:3
country/EST,1999,dcid:Count_Person_30To34Years,89383,estonia_population.csv:2010:3
country/EST,1999,dcid:Count_Person_35To39Years,99848,estonia_population.csv:2011:3
country/EST,1999,dcid:Count_Person_40To44Years,99792,estonia_population.csv:2012:3
country/EST,1999,dcid:Count_Person_45To49Years,95423,estonia_population.csv:2013:3
country/EST,1999,dcid:Count_Person_50To54Years,78955,estonia_population.csv:2014:3
country/EST,1999,dcid:Count_Person_55To59Years,81243,estonia_population.csv:2015:3
country/EST,1999,dcid:Count_Person_60To64Years,79962,estonia_population.csv:2016:3
country/EST,1999,dcid:Count_Person_65To69Years,72077,estonia_population.csv:2017:3
country/EST,1999,dcid:Count_Person_70To74Years,59051,estonia_population.csv:2018:3
country/EST,1999,dcid:Count_Person_75To79Years,35636,estonia_population.csv:2019:3
country/EST,1999,dcid:Count_Person_80To84Years,19310,estonia_population.csv:2020:3
country/EST,1999,dcid:Count_Person_85OrMoreYears,16972,estonia_population.csv:2025:3
country/EST,1999,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:2026:3
country/EST,2000,dcid:Count_Person,1401250,estonia_population.csv:2027:3
country/EST,2000,dcid:Count_Person_0Years,12270,estonia_population.csv:2028:3
country/EST,2000,dcid:Count_Person_1To4Years,50640,estonia_population.csv:2029:3
country/EST,2000,dcid:Count_Person_5To9Years,82530,estonia_population.csv:2030:3
country/EST,2000,dcid:Count_Person_10To14Years,104900,estonia_population.csv:2031:3
country/EST,2000,dcid:Count_Person_15To19Years,102000,estonia_population.csv:2032:3
country/EST,2000,dcid:Count_Person_20To24Years,98280,estonia_population.csv:2033:3
country/EST,2000,dcid:Count_Person_25To29Years,99710,estonia_population.csv:2034:3
country/EST,2000,dcid:Count_Person_30To34Years,93210,estonia_population.csv:2035:3
country/EST,2000,dcid:Count_Person_35To39Years,101270,estonia_population.csv:2036:3
country/EST,2000,dcid:Count_Person_40To44Years,102600,estonia_population.csv:2037:3
country/EST,2000,dcid:Count_Person_45To49Years,97270,estonia_population.csv:2038:3
country/EST,2000,dcid:Count_Person_50To54Years,86820,estonia_population.csv:2039:3
country/EST,2000,dcid:Count_Person_55To59Years,77530,estonia_population.csv:2040:3
country/EST,2000,dcid:Count_Person_60To64Years,84010,estonia_population.csv:2041:3
country/EST,2000,dcid:Count_Person_65To69Years,71100,estonia_population.csv:2042:3
country/EST,2000,dcid:Count_Person_70To74Years,61340,estonia_population.csv:2043:3
country/EST,2000,dcid:Count_Person_75To79Years,39050,estonia_population.csv:2044:3
country/EST,2000,dcid:Count_Person_80To84Years,18840,estonia_population.csv:2045:3
country/EST,2000,dcid:Count_Person_85OrMoreYears,17880,estonia_population.csv:2050:3
country/EST,2000,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:2051:3
country/EST,2001,dcid:Count_Person,1392720,estonia_population.csv:2052:3
country/EST,2001,dcid:Count_Person_0Years,13090,estonia_population.csv:2053:3
country/EST,2001,dcid:Count_Person_1To4Years,49620,estonia_population.csv:2054:3
country/EST,2001,dcid:Count_Person_5To9Years,75690,estonia_population.csv:2055:3
country/EST,2001,dcid:Count_Person_10To14Years,103870,estonia_population.csv:2056:3
country/EST,2001,dcid:Count_Person_15To19Years,102040,estonia_population.csv:2057:3
country/EST,2001,dcid:Count_Person_20To24Years,98050,estonia_population.csv:2058:3
country/EST,2001,dcid:Count_Person_25To29Years,98780,estonia_population.csv:2059:3
country/EST,2001,dcid:Count_Person_30To34Years,94230,estonia_population.csv:2060:3
country/EST,2001,dcid:Count_Person_35To39Years,98040,estonia_population.csv:2061:3
country/EST,2001,dcid:Count_Person_40To44Years,102140,estonia_population.csv:2062:3
country/EST,2001,dcid:Count_Person_45To49Years,98270,estonia_population.csv:2063:3
country/EST,2001,dcid:Count_Person_50To54Years,91040,estonia_population.csv:2064:3
country/EST,2001,dcid:Count_Person_55To59Years,73220,estonia_population.csv:2065:3
country/EST,2001,dcid:Count_Person_60To64Years,83960,estonia_population.csv:2066:3
country/EST,2001,dcid:Count_Person_65To69Years,69770,estonia_population.csv:2067:3
country/EST,2001,dcid:Count_Person_70To74Years,62790,estonia_population.csv:2068:3
country/EST,2001,dcid:Count_Person_75To79Years,41580,estonia_population.csv:2069:3
country/EST,2001,dcid:Count_Person_80To84Years,18810,estonia_population.csv:2070:3
country/EST,2001,dcid:Count_Person_85OrMoreYears,17730,estonia_population.csv:2075:3
country/EST,2001,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:2076:3
country/EST,2002,dcid:Count_Person,1383510,estonia_population.csv:2077:3
country/EST,2002,dcid:Count_Person_0Years,12740,estonia_population.csv:2078:3
country/EST,2002,dcid:Count_Person_1To4Years,49560,estonia_population.csv:2079:3
country/EST,2002,dcid:Count_Person_5To9Years,71040,estonia_population.csv:2080:3
country/EST,2002,dcid:Count_Person_10To14Years,100580,estonia_population.csv:2081:3
country/EST,2002,dcid:Count_Person_15To19Years,101830,estonia_population.csv:2082:3
country/EST,2002,dcid:Count_Person_20To24Years,97910,estonia_population.csv:2083:3
country/EST,2002,dcid:Count_Person_25To29Years,97650,estonia_population.csv:2084:3
country/EST,2002,dcid:Count_Person_30To34Years,95970,estonia_population.csv:2085:3
country/EST,2002,dcid:Count_Person_35To39Years,94560,estonia_population.csv:2086:3
country/EST,2002,dcid:Count_Person_40To44Years,102190,estonia_population.csv:2087:3
country/EST,2002,dcid:Count_Person_45To49Years,97870,estonia_population.csv:2088:3
country/EST,2002,dcid:Count_Person_50To54Years,92770,estonia_population.csv:2089:3
country/EST,2002,dcid:Count_Person_55To59Years,70190,estonia_population.csv:2090:3
country/EST,2002,dcid:Count_Person_60To64Years,84990,estonia_population.csv:2091:3
country/EST,2002,dcid:Count_Person_65To69Years,69310,estonia_population.csv:2092:3
country/EST,2002,dcid:Count_Person_70To74Years,63360,estonia_population.csv:2093:3
country/EST,2002,dcid:Count_Person_75To79Years,43380,estonia_population.csv:2094:3
country/EST,2002,dcid:Count_Person_80To84Years,20570,estonia_population.csv:2095:3
country/EST,2002,dcid:Count_Person_85OrMoreYears,17040,estonia_population.csv:2100:3
country/EST,2002,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:2101:3
country/EST,2003,dcid:Count_Person,1375190,estonia_population.csv:2102:3
country/EST,2003,dcid:Count_Person_0Years,13160,estonia_population.csv:2103:3
country/EST,2003,dcid:Count_Person_1To4Years,49860,estonia_population.csv:2104:3
country/EST,2003,dcid:Count_Person_5To9Years,66360,estonia_population.csv:2105:3
country/EST,2003,dcid:Count_Person_10To14Years,95940,estonia_population.csv:2106:3
country/EST,2003,dcid:Count_Person_15To19Years,102580,estonia_population.csv:2107:3
country/EST,2003,dcid:Count_Person_20To24Years,97620,estonia_population.csv:2108:3
country/EST,2003,dcid:Count_Person_25To29Years,97020,estonia_population.csv:2109:3
country/EST,2003,dcid:Count_Person_30To34Years,97560,estonia_population.csv:2110:3
country/EST,2003,dcid:Count_Person_35To39Years,91630,estonia_population.csv:2111:3
country/EST,2003,dcid:Count_Person_40To44Years,101580,estonia_population.csv:2112:3
country/EST,2003,dcid:Count_Person_45To49Years,97650,estonia_population.csv:2113:3
country/EST,2003,dcid:Count_Person_50To54Years,93240,estonia_population.csv:2114:3
country/EST,2003,dcid:Count_Person_55To59Years,71580,estonia_population.csv:2115:3
country/EST,2003,dcid:Count_Person_60To64Years,81540,estonia_population.csv:2116:3
country/EST,2003,dcid:Count_Person_65To69Years,70380,estonia_population.csv:2117:3
country/EST,2003,dcid:Count_Person_70To74Years,63380,estonia_population.csv:2118:3
country/EST,2003,dcid:Count_Person_75To79Years,45140,estonia_population.csv:2119:3
country/EST,2003,dcid:Count_Person_80To84Years,22830,estonia_population.csv:2120:3
country/EST,2003,dcid:Count_Person_85OrMoreYears,16140,estonia_population.csv:2125:3
country/EST,2003,dcid:Count_Person_AgeNotStated,0,estonia_population.csv:2126:3
country/EST,2004,dcid:Count_Person,1366250,estonia_population.csv:2127:3
